Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2022;Art,Sciences de l'ingénieur et sciences physiques;Licence Sciences de la vie, biologie, santé;1;0;0
2022;Art,Sciences de l'ingénieur et sciences physiques;PASS;1;0;0
2022;Art,Sciences de l'ingénieur et sciences physiques;CUPGE;0;0;0
2022;Art,Sciences de la vie et de la Terre Spécialité;Licence Sciences politiques;5;2;1
2022;Art,Sciences de la vie et de la Terre Spécialité;Licence L.AS;306;97;30
2022;Art,Sciences de la vie et de la Terre Spécialité;Sciences po;2;0;0
2022;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Droit - Sciences éco - AES;0;0;0
2022;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence STAPS;1;1;0
2022;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de gestion;0;0;0
2022;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de l information et de la communication;1;1;1
2022;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;DEUST;0;0;0
2022;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence STAPS;0;0;0
2022;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Sciences de l univers, de la terre, de l espace;0;0;0
2022;Biologie/Ecologie,Humanités, Littérature et Philosophie;CPGE ECG;0;0;0
2022;Biologie/Ecologie,Mathématiques Spécialité;Licence Electronique, Génie électrique, EEA;0;0;0
2022;Biologie/Ecologie,Mathématiques Spécialité;Licence Sciences de l univers, de la terre, de l espace;14;3;0
2022;Biologie/Ecologie,Numérique et Sciences Informatiques;Licence Pluri Sciences fondamentales et applications;0;0;0
2022;Biologie/Ecologie,Numérique et Sciences Informatiques;BUT Service;0;0;0
2022;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Electronique, Génie électrique, EEA;0;0;0
2022;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Sciences économiques;10;2;0
2022;Biologie/Ecologie,Physique-Chimie Spécialité;CPGE ECG;4;2;1
2022;Biologie/Ecologie,Physique-Chimie Spécialité;Ecoles d'ingénieurs;145;101;77
2022;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Physique;0;0;0
2022;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Ecoles d'ingénieurs;1;1;1
2022;Biologie/Ecologie,Sciences de la vie et de la Terre Spécialité;BUT Service;0;0;0
